nrNodes nrCollisions nrTransmissions OverallEnergy nrReceived nrProcessed timeToFly
330 3301 220784 38437.6960451 217483 220784 291194667.008
340 3362 227672 39636.871938 224310 227672 300279332.864
350 3759 234449 40816.7231324 230690 234449 309217599.488
360 3896 240715 41907.6110746 236818 240714 317481902.08
370 3942 247813 43143.3472082 243870 247812 326843539.456
380 4117 255238 44436.0128594 251121 255238 336636461.056
390 4688 262019 45616.5604393 257331 262019 345580003.328
400 4647 268411 46729.3845258 263764 268411 354010488.832
410 4958 275183 47908.3652383 270224 275182 362942160.896
420 5231 281805 49061.2314931 276572 281803 371675996.16
430 5545 289220 50352.1561805 283674 289219 381455728.64
440 5905 296121 51553.5953265 290216 296121 390557540.352
450 6190 302530 52669.3790515 296338 302528 399010447.36
460 5993 308249 53665.0362716 302256 308249 406553305.088
470 6722 315290 54890.8489114 308568 315290 415839764.48
480 6709 322492 56144.6910689 315783 322492 425338568.704
490 7164 329733 57405.3229855 322569 329733 434888810.496
500 7328 335897 58478.4530964 328569 335897 443018584.064
1 0 676 117.689155584 676 676 891584.512
10 0 6783 1180.89577267 6783 6783 8946180.096
20 16 13399 2332.71744922 13383 13399 17672101.888
30 54 20262 3527.54093261 20208 20262 26723794.944
40 81 26897 4682.67044045 26816 26897 35474776.064
50 50 33550 5840.9336832 33499 33549 44249497.6
60 134 40235 7004.76801024 40101 40235 53066424.32
70 162 47183 8214.38968627 47021 47183 62230224.896
80 204 53588 9329.47702579 53384 53588 70677856.256
90 212 60411 10517.3366538 60199 60411 79676792.832
100 314 67366 11728.1770045 67052 67366 88849825.792
110 389 73820 12851.7950669 73431 73820 97362083.84
120 415 80415 13999.9607194 80000 80415 106060308.48
130 485 87224 15185.382998 86739 87224 115040780.288
140 520 94000 16365.060096 93479 93999 123977728.0
150 781 100257 17454.3811707 99476 100257 132230160.384
160 745 107568 18727.1998341 106822 107567 141872726.016
170 771 114672 19963.980546 113901 114672 151242276.864
